feature_key,text,extraction
GENERAL_CIRCUM,"באשר לנסיבות שאינן קשורות בביצוע העבירה, לחובת הנאשם הרשעה נוספת, בגין עבירה של הסעת תושב זר השוהה שלא כדין, ואשר בגינה  הוטל עליו מאסר בפועל בדרך של עבודות שרות, יחד עם מאסר מותנה וקנס.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לסיום ציין ב""כ הנאשם, כי שוחח עם הנאשם, הוא הביע חרטה על מעשיו, טען כי לא הוביל סמים ברכב, רישיון הנהיגה חשוב לו, הוא גר בפזורה, ללא תחבורה ציבורית זמינה, אשתו עקרת בית, הוא מפרנס יחיד, הרכב הוא כלי פרנסתו, ומשמש אף לקחת את 4 ילדיו לבית הספר.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"פגיעת העונש בנאשם לרבות בשל גילו, הנאשם בן 35 נשוי ואב לשישה ילדים, בעל עבר פלילי אך נעדר רישום קודם בעבירה מושא תיק זה.","['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הנאשם, מפרנס יחיד, אשתו עקרת בית .","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הנאשם אב לשישה ילדים והמפרנס העיקרי.,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
CIR_TYPE,"על פי המתואר בעובדות כתב האישום המתוקן, בתאריך 20.6.2019 בשעה 18:00 לערך, בשטח סמוך לישוב תלמי בילו (להלן: ""המקום"") סייע הנאשם, לאחרים (בכך שהשקה את שתילים) , לגדל בשני מתחמים צמודים ומגודרים, 516 שתילים של סמים מסוכנים מסוג קנבוס, במשקל כולל של 2,551.9 גרם נטו, וזאת מבלי שקיבלו רישיון לכך מאת המנהל.",['קנביס']
CIR_TYPE,"כמות הסם שנתפסה, הינה במשקל כולל של 2,551.9 גרם נטו ( כ 2.5 ק""ג ) כמות משמעותית .","['הסוג של הסמים הוא [קוקאין], [קנביס], [MDMA], [הרואין]']"
CIR_AMOUNT,"על פי המתואר בעובדות כתב האישום המתוקן, בתאריך 20.6.2019 בשעה 18:00 לערך, בשטח סמוך לישוב תלמי בילו (להלן: ""המקום"") סייע הנאשם, לאחרים (בכך שהשקה את שתילים) , לגדל בשני מתחמים צמודים ומגודרים, 516 שתילים של סמים מסוכנים מסוג קנבוס, במשקל כולל של 2,551.9 גרם נטו, וזאת מבלי שקיבלו רישיון לכך מאת המנהל.",['[2 - קילוגרם]']
CIR_AMOUNT,"כמות הסם שנתפסה, הינה במשקל כולל של 2,551.9 גרם נטו ( כ 2.5 ק""ג ) כמות משמעותית .","['[2.5 - ק""ג]']"
CIR_ROLE,"הנאשם סייע לנאשמים אחרים בגידול 516 שתילי קנבוס, בדרך של השקייתם בשני מתחמים מגודרים צמודים כאמור בכתב האישום המתוקן.","['הנאשם לא מוזכר כבעל המעבדה, אלא כמי שסייע לנאשמים אחרים בגידול 516 שתילי קנבוס. הוא לא מוזכר כמי שהשתמש במעבדה, אלא רק כמי שסייע']"
CIR_ROLE,"כמות הסם שנתפסה, הינה במשקל כולל של 2,551.9 גרם נטו ( כ 2.5 ק""ג ) כמות משמעותית .","['לא בעל המעבדה, בעל הסמים']"
REGRET,"נטילת האחריות של הנאשם על מעשיו - הנאשם הודה בכתב אישום מתוקן, וקיבל על עצמו הדין.",['לא']
RESPO,"ב""כ הנאשם ציין כי לא נפתחו לנאשם תיקים חדשים, הנאשם הודה בהזדמנות הראשונה, לקח אחריות למעשיו, ולפיכך עונשו צריך להיות בטווח של חודש עד 5 חודשים.",['כן']
RESPO,"נטילת האחריות של הנאשם על מעשיו - הנאשם הודה בכתב אישום מתוקן, וקיבל על עצמו הדין.",['כן']
CONFESSION,"הנאשם הורשע על פי הודאתו בכתב אישום מתוקן, בעבירה של סיוע לגידול יצור הכנת סמים מסוכנים בהתאם להוראת סעיף 6 לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973 (להלן: ""הפקודה"") בצירוף סעיף 31 לחוק העונשין, התשל""ז- 1977 (להלן: ""החוק"")",['כן']
CONFESSION,"ב""כ הנאשם ציין כי לא נפתחו לנאשם תיקים חדשים, הנאשם הודה בהזדמנות הראשונה, לקח אחריות למעשיו, ולפיכך עונשו צריך להיות בטווח של חודש עד 5 חודשים.",['כן']
CONFESSION,"נטילת האחריות של הנאשם על מעשיו - הנאשם הודה בכתב אישום מתוקן, וקיבל על עצמו הדין.",['כן']
PUNISHMENT_ACTUAL,8 חודשי מאסר בפועל לריצוי בעבודות שירות.,"['הנאשם קיבל 8 חודשי מאסר בפועל, שזה אומר שהוא צריך לרצות את העונש בעבודות שירות']"
PUNISHMENT_SUSPENDED,"6 חודשי מאסר מותנה למשך שלוש שנים והתנאי שהנאשם לא יעבור כל עבירת סמים  מסוג פשע לפי  פקודת הסמים המסוכנים [נוסח חדש] תשל""ג-1973 .",['6 חודשי מאסר על תנאי']
