feature_key,text,extraction
GENERAL_CIRCUM,"נטען לנסיבות אישיות קשות, וכי במהלך התקופה לא יכל לפרנס את ביתו.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הודגש שלנאשם אין עבר פלילי ושהעבירה לא בוצעה עם תכנון מקדים.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']"
GENERAL_CIRCUM,"נטען שלנאשם אין דפוסים עבריינים מושרשים, אלא שיש לו בעיה בשיקול הדעת.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"תואר שהוא בן 33, נשוי בשנית ואב ל-3 ילדים בגילאים צעירים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הוא סיים 12 שנות לימוד וסיים שירות צבאי מלא.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,משך השנים עבד בעבודות שונות.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,במהלך ההליך הוא טופל פסיכיאטרית.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,צוין שאין לחובתו עבירות קודמות ואין לו דפוסים עבריינים מושרשים אלא מצוקות רגשיות ולקות בשיקול הדעת.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הוא שולב בקבוצה טיפולית של עצורי בית, אך עם זאת נרשמו מספר הפרות בתנאי מעצרו.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"באשר לפסיקת העונש בתוך המתחם, לטובת הנאשם יש לזקוף העדר עבר פלילי והעובדה שניהל אורח חיים נורמטיבי עד לביצוע העבירה.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : כן']"
CIR_STATUS_WEP,"באותה עת נכנס לשירותים שוטר סיור לבוש מדים כשהוא נושא אקדח משטרתי מסוג גלוק 9 מ""מ טעון במחסנית עם 15 כדורים.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"לאחר מכן הנאשם נכנס לבניין כ-200 מ' ממקום התחנה, הכניס את האקדח למעטפה והסליק את המעטפה שהכילה את האקדח בארון שבבניין.",['נשק עם מחסנית בהכנס']
CIR_STATUS_WEP,"נטען שמעשי הנאשם פגעו בביטחון הציבור, וביתר שאת כיוון שמדובר בנשק טעון עם מחסנית ומוכן לשימוש.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,נטען שהאירוע כולו נגמר ללא נזק כיוון שהאקדח נתפס ועוד נטען שהנשיאה הייתה למרחק קצר של 200 מ' בלבד.,['נשק עם מחסנית בהכנס']
CIR_HELD_WAY_WEP,"באותה עת נכנס לשירותים שוטר סיור לבוש מדים כשהוא נושא אקדח משטרתי מסוג גלוק 9 מ""מ טעון במחסנית עם 15 כדורים.",['על גופו']
CIR_HELD_WAY_WEP,"לאחר מכן הנאשם נכנס לבניין כ-200 מ' ממקום התחנה, הכניס את האקדח למעטפה והסליק את המעטפה שהכילה את האקדח בארון שבבניין.",['מוסלק - מוסתר']
CIR_HELD_WAY_WEP,בהמשך הוביל הנאשם את השוטרים למקום המחבוא של הנשק.,['מוסלק - מוסתר']
CIR_OBTAIN_WAY_WEP,"במקביל לכך נכנס הנאשם לשירותים, הבחין באקדח ונטל אותו שלא כדין, חזר למשרדו של החוקר, לקח את תיקו, הכניס את האקדח לתיק, ויצא מהתחנה.","['מאחר', 'מצא', 'גנב']"
CIR_OBTAIN_WAY_WEP,"לאחר מכן הנאשם נכנס לבניין כ-200 מ' ממקום התחנה, הכניס את האקדח למעטפה והסליק את המעטפה שהכילה את האקדח בארון שבבניין.",['מאחר']
CIR_OBTAIN_WAY_WEP,"באשר לנסיבות הקשורות לביצוע העבירה, אומנם תחילה לא התקיים תכנון מוקדם ומדובר במקרה של ניצול הזדמנות שנקרתה לפתחו של הנאשם, אך בהמשך נקט הנאשם בצעדים שמראים על כוונה פלילית לרבות לקיחת האקדח מתחנת המשטרה והסתרתו במקום סמוי.","['מאחר', 'מצא', 'גנב']"
CIR_TYPE_WEP,"באותה עת נכנס לשירותים שוטר סיור לבוש מדים כשהוא נושא אקדח משטרתי מסוג גלוק 9 מ""מ טעון במחסנית עם 15 כדורים.",['אקדח']
CIR_TYPE_WEP,השוטר הניח את האקדח על המדף הממוקם בשירותים והוא יצא ושכח אותו שם עת שיצא.,['אקדח']
CIR_TYPE_WEP,"במקביל לכך נכנס הנאשם לשירותים, הבחין באקדח ונטל אותו שלא כדין, חזר למשרדו של החוקר, לקח את תיקו, הכניס את האקדח לתיק, ויצא מהתחנה.",['אקדח']
CIR_TYPE_WEP,"לאחר מכן הנאשם נכנס לבניין כ-200 מ' ממקום התחנה, הכניס את האקדח למעטפה והסליק את המעטפה שהכילה את האקדח בארון שבבניין.",['אקדח']
CIR_TYPE_WEP,"נטען שמעשי הנאשם פגעו בביטחון הציבור, וביתר שאת כיוון שמדובר בנשק טעון עם מחסנית ומוכן לשימוש.",['אקדח']
CIR_TYPE_WEP,"נטען לפגיעה חמורה עוד יותר כאשר הנאשם לקח את האקדח והביא אותו לבניין סמוך מחוץ לתחנה, שם כל אחד יכל למצוא אותו.",['אקדח']
CIR_TYPE_WEP,נטען שהאירוע כולו נגמר ללא נזק כיוון שהאקדח נתפס ועוד נטען שהנשיאה הייתה למרחק קצר של 200 מ' בלבד.,['אקדח']
CIR_TYPE_WEP,"באשר לנסיבות הקשורות לביצוע העבירה, אומנם תחילה לא התקיים תכנון מוקדם ומדובר במקרה של ניצול הזדמנות שנקרתה לפתחו של הנאשם, אך בהמשך נקט הנאשם בצעדים שמראים על כוונה פלילית לרבות לקיחת האקדח מתחנת המשטרה והסתרתו במקום סמוי.",['אקדח']
