text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"על-פי עובדות כתב האישום המתוקן ייבא הנאשם לישראל 706 כדורי ""יאבה"" המכילים סם מסוכן מסוג מתאמפטאמין.",,,,"['הסוג הוא ""מתאמפטאמין"" (מתאמפטמין)']",['[706 - כדורים]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"בטיעוניה, אשר הוגשו בכתב, הפנתה ב""כ המאשימה, עו""ד שרה טל, לערכים המוגנים בהם פגע הנאשם עת ייבא לישראל סם מסוכן.",,,,,,,,,,,,,,
לבסוף הבהירה כי הנאשם ניהל את משפטו ולא הביע חרטה על מעשיו כך שהוא אינו זכאי להקלה לה זוכים נאשמים אשר הודו במיוחס להם.,,,,,,,,['לא'],,,,,,
עוד הטעימה כי נסיבותיו האישיות של הנאשם אינן יוצאות דופן המצדיקות סטייה לקולא ממתחם הענישה בהתאם לסעיף 40ד(א) לחוק.,,,,,,,,,,,,,,
בנסיבות העניין ותוך מתן דגש לעברו הפלילי הנקי של הנאשם עתר להשתת עונש מאסר בפועל של 12 חודשים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"באחרית דבריו קבל על דרישתה של המאשימה בנוגע להשתת קנס ועמד על מצבו הכלכלי העגום של הנאשם אשר חי במחסן ומקבל שכר זעום הנשלח למשפחתו בחו""ל לסיפוק צרכי מחייה בסיסיים.",,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כפי האמור לעיל, ייבא הנאשם לישראל 706 כדורי יאבה כאשר לנגד עיניו עמד הרווח הקל שבמכירת הסם.",,,,"['הסוג הוא [יאבה], כפי שמצוין בטקסט: ""כפי האמור לעיל, ייבא הנאשם לישראל 706 כדורי יאבה.""']",,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
העדר עבר פלילי ונסיבות חייו של הנאשם לרבות מצבו הכלכלי הינם שיקולים הנזקפים לזכותו של הנאשם.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
20 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 18.10.12 ועד ליום 22.11.12.,,,,,,,,,,,,['הנאשם קיבל 20 חודשי מאסר בפועל'],[],[]
"מאסר מותנה של 10 חודשים, לתקופה של 3 שנים מיום שחרורו ממאסר, והתנאי הוא שהנאשם לא יעבור עבירת סמים מסוג פשע.",,,,,,,,,,,,[],['הנאשם קיבל 10 חודשי מאסר על תנאי'],[]
נוכח מצבו הכלכלי של הנאשם ובהתאם לפסיקה הנוהגת לא מצאתי לנכון לגזור קנס.,,,,,,,,,,,,,,
