,case,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,RESPO-predicted,REGRET-predicted,CIR_USE-predicted,CIR_TYPE_WEP-predicted,CIR_STATUS_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted,_HELD_WAY_WEP-predicted
0,,"מדינת ישראל – פמ""ד 
ע""י ב""כ עו""ד שאול ציון",,0.9998184030425894,,,,,,,,,,,,,,,,
1,,"חוק העונשין, תשל""ז-1977: סע'  144, 144(א), 144(ב), 186",,0.9997374732038201,,,,,,,,,,,,,,,,
2,,"* הנאשם, שהורשע בעבירות של החזקת נשק ותחמושת שלא כדין, נדון ל-15 חודשי מאסר בפועל, לצד מאסר מותנה וקנס.",,0.002396251424265424,0.21510993539058992,0.01012568225844559,0.00900875268578527,0.3357291130683633,,,,,,,,,,,,
3,,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,,0.9996036815229385,,,,,,,,,,,,,,,,
4,,* עונשין – עבירות – נשק,,0.9995556499532096,,,,,,,,,,,,,,,,
5,,"הנאשם נותן את הדין בגין עבירות של החזקת נשק ותחמושת שלא כדין, בניגוד לסעיף 144(א) רישא וסיפא לחוק העונשין.",,0.9994457461258288,,,,,,,,,,,,,,,,
6,,"בית המשפט גזר את דינו של הנאשם, ופסק כלהלן:",,0.9994589435818714,,,,,,,,,,,,,,,,
7,,"אין צורך להכביר מילים על פוטנציאל הסיכון הנובע מהחזקת נשק חם קטלני, שלא כדין.",,0.994113922437053,,,,,,,,,,,,,,,,
8,,"כלי הנשק עלול למצוא דרכו לפעילות שלילית, אם פלילית ואם נגד בטחון המדינה.",,0.9963901126382569,,,,,,,,,,,,,,,,
9,,"בשורה של פסקי דין נקבע, כי חומרת הסיכון הנשקף מעבירות אלה, מחייבת השתת עונשי מאסר בפועל בגין עבירות אלה וזאת גם כאשר המדובר, לכאורה, במי שמנהל אורח חיים נורמטיבי ואין לחובתו הרשעות קודמות.",,0.020576895152056178,0.012053100917022799,0.9419491497629329,0.006373995243504142,0.3330532829079485,,,,,,,,,,,,
10,,על אחת כמה וכמה פוטנציאל הסיכון כאשר כלי נשק חם מוחזק בתוך רכב.,,0.998495801692117,,,,,,,,,,,,,,,,
11,,"יש לקבוע מתחם ענישה, בכל הנוגע לאחזקת נשק חם קצר, מסוג אקדח – חצי אוטומטי, שהוא מוחזק בלווית תחמושת מתאימה, במחסנית, מוכן לשימוש, בתוך כלי רכב – כך שינוע בין 15 עד 30 חודשי מאסר בפועל.",,0.0026461347006823768,0.053981370599921495,0.09916384652696386,0.17037219139098206,0.07630103779247648,,,,,,,,,,,,
12,,"אם תימשך העלייה במספר כתבי האישום המוגשים בגין עבירה זו, ייתכן שנכון יהיה לדון גם בהחמרה נוספת של המתחם, כפי המבוקש על ידי התביעה.",,0.998258922631311,,,,,,,,,,,,,,,,
13,,"לנוכח השיקולים לקולה, ובעיקר – שירותו הצבאי של הנאשם והיעדר הרשעות קודמות – יושת עונש על הרף הנמוך ביותר של מתחם הענישה.",,0.0007000414440503293,0.00926284517446291,0.6370461904418054,0.005374295406232413,0.5508992527573102,0.042801044732018664,0.8033709843345482,,,,,,,,,,
14,,"יש להטיל על הנאשם 15 חודשי מאסר בפועל, שני מאסרים מותנים וקנס בסך 10,000 ₪.",,0.0019836696283711854,0.31441151102174053,0.006417574698662079,0.005287774345525985,0.040934419712102654,,,,,,,,,,,,
15,,"הנאשם שלפני נותן את הדין בגין עבירות של החזקת נשק ותחמושת שלא כדין, בניגוד לסעיף 144(א) רישא וסיפא לחוק העונשין, תשל""ז-1977.",,0.9996844079662738,,,,,,,,,,,,,,,,
16,,"בהתאם לעובדות כתב האישום המתוקן (תיקון פרוצדורלי) נתפס הנאשם, בתאריך 26.10.16, סמוך לשעה 05:00 בבוקר, מחזיק בנשק חם מסוג אקדח ברטה, חצי אוטומטי, מודל F84, קליבר 9 מ""מ קצר, מספר סידורי D79906Y, בצירוף מחסנית ובה כדורים.",,0.0002370392364794097,0.06996070696004662,0.045705543482956724,0.8961637472923427,0.3621106651466021,,,0.49585520445551223,0.9432062667674238,0.9763525451616886,0.8177705091436952,0.44297635262900453,0.4301328922820384,0.16168291008267655,0.11865001948054607,0.9594344602562366,0.9736225197399763
17,,"הנשק הוחזק מתחת לכיסא הנהג ברכב אותו החזיק הנאשם, מסוג מרצדס, מ.ר. 53-321-59.",,6.146212467955856e-05,0.03566122642926095,0.05723496791271768,0.9606742656030769,0.09329379105654999,,,0.7717905872783825,0.9669113413836004,0.8562090142787522,0.9078841990259429,0.1992111033177224,0.2259978822429323,0.23686418572111426,0.23150501039815516,0.9554311575857815,0.9783492147193356
18,,לאחר הליך של דיון מקדמי וכן סיום ההליכים המקדמיים – כפרה ההגנה באשמה.,,0.9995763687663977,,,,,,,,,,,,,,,,
19,,"במענה לכתב האישום, הודה הנאשם בתפיסת הנשק, במקום ובזמן המתואר בכתב האישום אך טען, כי מעולם לא החזיק בנשק ולא ידע על קיומו.",,0.0030898342452010522,0.012402826185040409,0.1053096229624431,0.5410451118031386,0.6915856723825936,0.9487983254016186,0.04887166783016781,0.34524437865462826,0.32350098933783455,0.893510775844425,0.8142955917834195,0.915552154614439,0.9233176219157234,0.13897520805954114,0.08657495107764736,0.3507048583564431,0.6267255399672509
20,,"שמיעת הראיות בתיק זה הסתיימה, לאחר מספר דיונים שבוטלו מטעמים שונים הקשורים בהגנה (לרבות אי התייצבות הנאשם; אי התייצבות עד מטעם ההגנה; טענת הסניגור כי אינו חש בטוב), לאחר שההגנה לא הגישה סיכומיה, גם לאחר מספר רב של ארכות שניתנו, וגם לאחר חיוב הסניגור בהוצאות אישיות – ניתנה, בדלית ברירה, הכרעת דין בהעדר סיכומי ההגנה והנאשם הורשע בעובדות ובעבירות שבכתב האישום, לאחר שנקבע, כי עלה בידי התביעה הכללית להוכיחן ברמת הראיות הנדרשת במשפט פלילי.",,0.0017939423997441238,0.029623429008894937,0.44389848071030324,0.06331100729973232,0.8054445230162901,0.4328589738672953,0.07395009891266234,,,,,,,,,,
21,,"לאחר מתן הכרעת הדין – עתרה ההגנה לארכה על מנת לשקול, האם תבקש להפנות הנאשם לחקירת שירות המבחן למבוגרים.",,0.999185348043899,,,,,,,,,,,,,,,,
22,,"גם לאחר מכן – נדחו מספר דיונים, שוב, מסיבות הקשורות להגנה, בין היתר לאור הטענה , כי הנאשם מבקש להחליף את ייצוגו (בסופו של דבר לא הוחלף הייצוג) וכן לאור טענת ההגנה, כי מבקשת להביא עדים לעניין העונש (בסופו של דבר – לא הובאו).",,0.5484056900718367,,,,,,,,,,,,,,,,
23,,דיונים נוספים נדחו בשל אילוצים אישיים או משפחתיים של הסניגור.,,0.00152421949512091,0.02763910402304044,0.9552628617294865,0.29357693299473653,0.073971446720086,,,,,,,,,,,,
24,,"בסופו של דבר פרשת העונש, תוך אי-קבלת בקשה מטעם ההגנה לדחות המועד פעם נוספת, ודחית בקשתה להפנות הנאשם לחקירת שירות המבחן למבוגרים – משלא עשתה כן במועדים, שנקצבו לשם כך.",,0.9996008127003249,,,,,,,,,,,,,,,,
25,,מכאן – גזר דין זה.,,0.9994161908226142,,,,,,,,,,,,,,,,
26,,התביעה לא הגישה ראיות לעניין העונש בתיק זה.,,0.9991675056384073,,,,,,,,,,,,,,,,
27,,"ההגנה הגישה מוצגים לעניין העונש, כדלקמן:",,0.9993311781563605,,,,,,,,,,,,,,,,
28,,אישור על שירות לאומי אזרחי בנוגע לבנו של הנאשם – נ/1;,,0.9936636913051099,,,,,,,,,,,,,,,,
