feature_key,text,extraction
CONFESSION,"הנאשם הודה במסגרת הסדר שלא כלל הסדר אודות העונש בעבירות בנשק (נשיאה והובלה – לפי סעיף 144(ב) (רישא + סיפא לחוק העונשין – התשל""ז 1977).",True
CONFESSION,"הנאשם הודה במסגרת הסדר שלא כלל הסדר אודות העונש בעבירות בנשק (נשיאה והובלה – לפי סעיף 144(ב) (רישא + סיפא לחוק העונשין – התשל""ז 1977).",True
TYPE_WEP,"במהלך הנסיעה, החזיק הוביל ונשא הנאשם אקדח חצי אוטומטי ולידו שתי מחסניות מתאימות כשכל האמל""ח מוסלק בתוך מכנס.",['אקדח']
HELD_WAY,"במהלך הנסיעה, החזיק הוביל ונשא הנאשם אקדח חצי אוטומטי ולידו שתי מחסניות מתאימות כשכל האמל""ח מוסלק בתוך מכנס.",['נשא']
USE,"במהלך הנסיעה, החזיק הוביל ונשא הנאשם אקדח חצי אוטומטי ולידו שתי מחסניות מתאימות כשכל האמל""ח מוסלק בתוך מכנס.",False
STATUS_WEP,"במהלך הנסיעה, החזיק הוביל ונשא הנאשם אקדח חצי אוטומטי ולידו שתי מחסניות מתאימות כשכל האמל""ח מוסלק בתוך מכנס.",[]
TYPE_WEP,"כשהרכב הגיע לפקק, עצרו השוטרים את הנאשם ואת פאדי יחד עם האקדח והמחסניות, כאשר הם מוסלקים בין רגליו של הנאשם.",['אקדח']
HELD_WAY,"כשהרכב הגיע לפקק, עצרו השוטרים את הנאשם ואת פאדי יחד עם האקדח והמחסניות, כאשר הם מוסלקים בין רגליו של הנאשם.","['רכב', 'נשא']"
STATUS_WEP,"כשהרכב הגיע לפקק, עצרו השוטרים את הנאשם ואת פאדי יחד עם האקדח והמחסניות, כאשר הם מוסלקים בין רגליו של הנאשם.",[]
OBTAIN_WAY,"כשהרכב הגיע לפקק, עצרו השוטרים את הנאשם ואת פאדי יחד עם האקדח והמחסניות, כאשר הם מוסלקים בין רגליו של הנאשם.",[]
CONFESSION,"הסנגור הודה שמדובר בעבירה חמורה, אך נטען שבמקביל יש צורך לבדוק את הנזק שאירע בפועל ואת הנסיבות הקשורות לביצוע העבירה.",True
CONFESSION,"הסנגור הודה שמדובר בעבירה חמורה, אך נטען שבמקביל יש צורך לבדוק את הנזק שאירע בפועל ואת הנסיבות הקשורות לביצוע העבירה.",True
CONFESSION,צוין שאין לחובתו עבר פלילי והוא קיבל אחריות על מעשיו.,True
CONFESSION,"עולה גם הרושם שהנאשם היה גלוי וכנה עם שירות המבחן, הן באשר לנסיבות ביצוע העבירה והן ביחס לתחושותיו, לרבות החרטה שהביע.",True
CONFESSION,הנאשם הביע צער וחרטה על מעשיו והבטיח לא לחזור על העבירה.,True
CONFESSION,"ראשית, מדובר באדם ללא קווים עבריינים, שהודה וקיבל אחריות הן בפני בית המשפט והן בפני שירות המבחן.",True
CONFESSION,"ראשית, מדובר באדם ללא קווים עבריינים, שהודה וקיבל אחריות הן בפני בית המשפט והן בפני שירות המבחן.",True
OFFENCE_NUMBER,"חוק העונשין, תשל""ז-1977: סע'  144(ב)",['144 ב']
OFFENCE_NUMBER,"הנאשם הודה במסגרת הסדר שלא כלל הסדר אודות העונש בעבירות בנשק (נשיאה והובלה – לפי סעיף 144(ב) (רישא + סיפא לחוק העונשין – התשל""ז 1977).",['144 ב']
OFFENCE_TYPE,"הנאשם הודה במסגרת הסדר שלא כלל הסדר אודות העונש בעבירות בנשק (נשיאה והובלה – לפי סעיף 144(ב) (רישא + סיפא לחוק העונשין – התשל""ז 1977).",['נשיאת נשק']
OFFENCE_TYPE,"הנאשם הודה במסגרת הסדר שלא כלל הסדר אודות העונש בעבירות בנשק (נשיאה והובלה – לפי סעיף 144(ב) (רישא + סיפא לחוק העונשין – התשל""ז 1977).",['הובלת נשק']
