,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,SH-17-10-10556-234,"ב""כ המאשימה עו""ד עומרי כהן",,0.9995612247622289,,,,,,,,,,,,,,,,,
1,SH-17-10-10556-234,"הנאשם הובא באמצעות שב""ס",,0.9996525289412912,,,,,,,,,,,,,,,,,
2,SH-17-10-10556-234,"ב""כ הנאשם עו""ד חליחל",,0.9995599224791148,,,,,,,,,,,,,,,,,
3,SH-17-10-10556-234,"מתורגמן ביהמ""ש לשפה הערבית",,0.9995831313341531,,,,,,,,,,,,,,,,,
4,SH-17-10-10556-234,"חוק העונשין, תשל""ז-1977: סע'  144(א)",,0.9997101240343121,,,,,,,,,,,,,,,,,
5,SH-17-10-10556-234,גזר הדין יינתן בשעה 11:00.,,0.9997818262358849,,,,,,,,,,,,,,,,,
6,SH-17-10-10556-234,"ניתנה והודעה היום ט' טבת תשע""ח, 27/12/2017 במעמד הנוכחים.",,0.9996635240639903,,,,,,,,,,,,,,,,,
7,SH-17-10-10556-234,"הנאשם שלפני הורשע, על פי הודאתו במסגרת הסדר טיעון, בעבירות של החזקת נשק, על פי סעיף 144(א) רישא לחוק העונשין תשל""ז – 1977, והחזקת אביזר נשק לתחמושת, לפי סעיף 144(א) סיפא לחוק האמור.",,0.0066364337150815024,0.0002199515955183645,4.199467221456707e-08,0.0017056525933304362,0.9997485355539462,0.9996227229042557,,,,,,1.1797432704416418e-05,1.2520541225760064e-05,,,,,
8,SH-17-10-10556-234,"הסדר הטיעון כלל הסכמה לפיה תעתור המאשימה לעונש מאסר למשך 16 חודשים בתוספת רכיבים נלווים, ואילו ההגנה חופשית בטיעוניה.",,0.004746055523858667,0.9963655687550325,4.565088497379852e-08,0.0014193072723937433,1.79385047406068e-05,,,,,,,,,,,,,
9,SH-17-10-10556-234,"על פי עובדות כתב האישום, עובר ליום 28/08/2017 החזיק הנאשם באקדח ובתוכו מחסנית ובה 10 קליעים בקוטר 8 מ""מ.",,0.0004746621172376439,0.00019232383140342112,5.282183723325993e-08,0.9999033394538318,1.938613056767711e-05,,0.9998614706614293,1.1313852884317505e-05,1.1135923876909535e-05,1.2884970890239453e-05,0.9995770590121656,,,0.965815525149671,0.999128654135385,0.9855645650913017,5.5791261266764145e-05,5.5791261266764145e-05
