,case,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,RESPO-predicted,REGRET-predicted,CIR_USE-predicted,CIR_TYPE_WEP-predicted,CIR_STATUS_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted,_HELD_WAY_WEP-predicted
0,,"נוכחים:			עו""ד איילת קדוש – בשם המאשימה",,0.9995376662385027,,,,,,,,,,,,,,,,
1,,"הנאשם וב""כ עו""ד אחסאן ווהבה",,0.9995979559388177,,,,,,,,,,,,,,,,
2,,"חוק העונשין, תשל""ז-1977: סע'  29, 144(ב), 192, 340 א', 449(א)(1)",,0.9997120795681221,,,,,,,,,,,,,,,,
3,,"בטרם שמיעת הראיות, הגיעו הצדדים להסדר טיעון במסגרתו כתב האישום שהוגש נגד הנאשם תוקן והנאשם הודה בעובדות כתב האישום המתוקן, שאלה עיקריהן:",,0.053481923108253865,0.01498784961421115,0.019034203756963953,0.007979270966461713,0.9312664956266707,0.8536885262769264,0.11325258498395077,,,,,,,,,,
4,,"שריף אלקאדי, באקר אלקאדי, סהר אלקאדי והאני אלקאדי הם קרובי משפחה המתגוררים בשכונה 20 ברהט (להלן: ""המתלוננים"").",,0.9914313107520425,,,,,,,,,,,,,,,,
5,,"בין משפחת הנאשם למשפחת המתלוננים ישנו סכסוך קודם לאירוע שיתואר בהמשך (להלן: ""הסכסוך"").",,0.9989710986325734,,,,,,,,,,,,,,,,
6,,"במסגרת הסכסוך, החליטו הנאשם ואחרים שזהותם אינה ידועה למאשימה להתגרות במתלוננים.",,0.05082500270660665,0.0107743562104882,0.6699083288652886,0.7100284837128437,0.4803638855299571,,,0.16585376631750853,0.1120666216096197,0.024411434027185652,0.73628778955572,0.5093175423027309,0.89266858137571,0.051786346823975433,0.03744872769840447,0.19890467303719098,0.1871758959226617
7,,"בתאריך 15.12.16 בסמוך לשעה 14:45 הגיעו הנאשם והאחרים ברכב מסוג ב.מ.וו, השייך לנאשם, לשכונה 20 ברהט והחלו לנסוע במהירות הלוך ושוב בכביש הסמוך לבתי המתלוננים, על מנת להקניטם.",,4.346085916473132e-05,0.026097488250419052,0.3209691979439972,0.9775210207765699,0.2785339302596298,,,0.3229589563413577,0.7546688763252147,0.20690857455864237,0.8822817218643231,0.22100173434316026,0.3463891669076202,0.07240110359734858,0.1689274972126297,0.8367244554828648,0.9399440933832588
8,,"כתוצאה מהרעש הרב שגרמה נסיעת הרכב, יצאו המתלוננים מבתיהם ונעמדו בסמוך לכביש.",,0.9964050445224575,,,,,,,,,,,,,,,,
9,,"כאשר הרכב חלף במהירות על פני המתלוננים, אחד מהם סימן לרכב לעצור, אך הנאשם והאחרים המשיכו בנסיעה מהירה לכיוון היציאה מהשכונה, שם ביצעו פניית פרסה וחזרו שוב בנסיעה לעבר המתלוננים.",,0.0006520756501941285,0.00822937767542682,0.5105504992159452,0.9955593644440495,0.3619026960480808,,,0.3533319402692009,0.8295221729613915,0.2228814276746406,0.9568155559401407,0.05275289861311319,0.18606176864552446,0.01816284796918392,0.26600490724464854,0.8886357803258044,0.9455516621056187
10,,אחד המתלוננים אחז צינור מתכת בידו וכשהנאשם והאחרים חלפו שוב על פניו הוא השליך את הצינור לעבר הרכב ופגע בחלקו האחורי.,,0.00011413955259847193,0.00979938395634494,0.4089359537681282,0.9965239860652385,0.23443322417993548,,,0.8543036778237513,0.9614951716795475,0.4703506906289646,0.9769117483514669,0.010919782242917295,0.3465165784722023,0.05504997777106381,0.22816341711184404,0.9765566193164388,0.9867961037090192
