feature_key,text,extraction
GENERAL_CIRCUM,"על פי עובדות כתב האישום המתוקן, ביום 7/2/13 שאל הנאשם מגיסו את רכבו ונהג ברכב במספר הזדמנויות, על אף שמעולם לא היה ברשותו רישיון נהיגה וכשהוא נוסע ללא ביטוח תקף.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"ב""כ הנאשם בטיעוניו לעונש טען, כי הנאשם היה עצור במשך למעלה מחודש ומאז הוא משוחרר בערובה בתנאים מגבילים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,הנאשם מרגע מעצרו שיתף פעולה עם המשטרה.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : כן', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"ב""כ הנאשם סבור, כי העבירות אינן מצדיקות מאסר בפועל בהתחשב גם בכך שהנאשם צעיר, ללא עבר פלילי ושנסיבות האירוע חריגות בנוף חייו.","['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"מתסקיר שירות המבחן שהוגש בעניינו של הנאשם, עולה כי הנאשם בן 23 גדל ברהט וסיים 12 שנות לימוד.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,לאחר סיום לימודיו עבד בעבודות מזדמנות ולאחר מכן עבד במרכול עד למעצרו.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הנאשם התארס תקופה קצרה לפני מעצרו בתיק זה.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"מבחינת גורמי שיקום, סבר השירות, כי הנאשם הצליח להתמיד במסגרות עבודה, זכה לתמיכה משפחתית וחברתית ולהערכת השירות ההליך המשפטי המחיש לו את חומרת מעשיו והיווה עבורו גורם מרתיע מהמשך מעורבות בפלילים.","['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הנאשם נהג ברכב מבלי שקיבל מעולם רישיון נהיגה, ללא ביטוח בתוקף ולאחר ששתה משקאות משכרים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,עוד אני לוקח בחשבון את נסיבות חייו של הנאשם שברקע רצח שבוצע במשפחה כפי שעולה מהתסקיר.,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"עוד יש לציין, כי לראשונה בחייו הנאשם היה עצור מיום 10/2/13 ועד 19/3/13 ולאחר מכן שוחרר בתנאים מגבילים בהם שהה במשך שישה חודשים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : כן', '10 : כן', '11 : לא']"
CONFESSION,"הנאשם הורשע על פי הודאתו, לאחר הסדר טיעון לעניין תיקונו של כתב האישום, בכתב אישום מתוקן בעבירות של נשיאת נשק, הפרעה לשוטר במילוי תפקידו, עבירות לפי סעיפים  144(ב) רישא+סיפא ו- 275 לחוק העונשין, התשל""ז- 1977 וכן בעבירה של נהיגה ללא רישיון, עבירה לפי סעיף 10(א) לפקודת התעבורה [נוסח חדש], התשכ""א- 1961, נהיגה ללא ביטוח, עבירה לפי סעיף 2 לפקודת ביטוח רכב מנועי, התש""ל- 1970 ובעבירה של נהיגה תחת השפעת משקאות משכרים- עבירה לפי תקנה 26(2) לתקנות התעבורה, התשכ""א- 1961.",['כן']
CONFESSION,"בהתייחסות לעבירה דנן, השירות התרשם, כי הנאשם נטל אחריות חלקית על ביצועה וטשטש את נסיבות מעורבותו בה, למעט נשיאת הנשק.",['לא']
CONFESSION,הנאשם הביע תחושה של צער וחרטה שחווה בעקבות מעורבות בעבירה ובעיקר לנוכח השלכות התנהלות ההליך המשפטי עליו ועל רקע זה הוא מכיר בחומרת התנהגותו.,['לא']
CONFESSION,"לזכות הנאשם אני לוקח בחשבון את הודאתו בעובדות כתב האישום המתוקן שחסכה זמן שיפוטי, זמנם של עדים ומזמנה של התביעה.",['כן']
CONFESSION,"בנוסף לאמור, הנאשם הביע בפני שירות המבחן חרטה על מעשיו.",['לא']
CIR_TYPE_WEP,"בתאריך 9/2/13 נהג הנאשם ברכב כשלצדו ישב חברו הלאל אבו זעילה, כשהלאל נושא עמו ברכב אקדח ותחמושת.",['אקדח']
CIR_TYPE_WEP,"הנאשם והלאל עצרו את הרכב ברהט, הלכו לצריף הנמצא בקרבת מקום ושם הלאל אחז באקדח וירה בו שלוש יריות באוויר.",['אקדח']
CIR_HELD_WAY_WEP,"בתאריך 9/2/13 נהג הנאשם ברכב כשלצדו ישב חברו הלאל אבו זעילה, כשהלאל נושא עמו ברכב אקדח ותחמושת.",['ברכב']
CIR_USE,"הנאשם והלאל עצרו את הרכב ברהט, הלכו לצריף הנמצא בקרבת מקום ושם הלאל אחז באקדח וירה בו שלוש יריות באוויר.","['ירי', 'ניסיון לירי']"
CIR_USE,הנאשם וחברו אחזו בנשק והחבר ירה מספר יריות שהיוו סיכון לפגיעה באזרחים תמימים.,"['ירי', 'ניסיון לירי']"
CIR_STATUS_WEP,"בתאריך 9/2/13 נהג הנאשם ברכב כשלצדו ישב חברו הלאל אבו זעילה, כשהלאל נושא עמו ברכב אקדח ותחמושת.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"הנאשם והלאל עצרו את הרכב ברהט, הלכו לצריף הנמצא בקרבת מקום ושם הלאל אחז באקדח וירה בו שלוש יריות באוויר.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,הנאשם וחברו אחזו בנשק והחבר ירה מספר יריות שהיוו סיכון לפגיעה באזרחים תמימים.,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
PUNISHMENT_ACTUAL,"6 חודשי מאסר לריצוי בפועל אשר ירוצו בעבודות שירות במעש באר שבע, חמישה ימים בשבוע, 8.5.","['הנאשם קיבל 6 חודשי מאסר לריצוי בפועל, שירוצו בעבודות שירות במעש באר שבע, חמישה ימים בשבוע, 85 ש']"
PUNISHMENT_SUSPENDED,6 חודשי מאסר על תנאי שלא יעבור במשך 3 שנים מהיום עבירה מהעבירות בהן הורשע בתיק זה או עבירה של נהיגה בזמן פסילה.,['6 חודשי מאסר על תנאי']
PUNISHMENT_FINE,"הנאשם ישלם קנס בסך 10,000 ₪ או  יאסר למשך שלושה חודשים תחתיו.","['10,000 ₪']"
