text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"פ""ל 9037-11-12 מדינת ישראל נ' קדם(עציר)",0.00011242209,3.180231e-05,2.0445728e-05,0.9999875,0.00034689246,0.001004037,0.0004912857,0.014345161,0.014996909,0.0001092893,0.0010011195
פקודת התעבורה [נוסח חדש],0.00012015251,2.8949456e-05,1.8201625e-05,0.9865067,0.00030340525,0.00062817155,0.00057839014,0.018349944,0.04563684,0.00014441262,0.00025315565
"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970",9.484369e-05,2.9557375e-05,2.0643021e-05,0.9999877,0.00042948782,0.00075297896,0.00036342026,0.20443642,0.036531072,0.00011866501,0.00047249492
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973",9.998855e-05,2.9010977e-05,1.9999901e-05,0.99998724,0.00038593775,0.0007255531,0.0003956714,0.03231924,0.044468615,0.00012570496,0.00078072416
"חוק בתי המשפט [נוסח משולב], תשמ""ד-1984",0.00016375673,3.0003815e-05,1.9556e-05,0.99998784,0.0003805152,0.00082825316,0.00037788282,0.08870964,0.032847844,9.1318536e-05,0.00085983815
"הנאשם בפני, אברהם קדם (להלן: ""הנאשם""), הורשע לאחר ניהול הוכחות בעבירות של נהיגה ללא רישיון נהיגה, עבירה לפי סעיף 10(א) לפקודת התעבורה, התשכ""א-1961 (להלן: ""פקודת התעבורה""); נהיגה תחת פסילה ביודעין, עבירה על סעיף 67 לפקודת התעבורה; נהיגה ללא ביטוח, עבירה לפי סעיף 2 לפקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970; הכשלת שוטר, עבירה לפי סעיף 275 לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""); החזקת סם שלא לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) רישא, לפקודת הסמים המסוכנים (נוסח חדש), התשל""ג-1973 (להלן:""פקודת הסמים""); החזקת סם לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) סיפא, לפקודת הסמים ונהיגה בפזיזות, עבירה לפי סעיף 338(1) לחוק העונשין.",0.00023024138,3.3321394e-05,0.00028518602,9.708385e-06,0.004490332,0.026308574,0.00083667296,0.018119637,0.07022727,0.00027654128,0.99973243
"בסביבות השעה 23:45 הגיע הנאשם עם הקטנוע לרח' ""עץ הדר"", החנה את הקטנוע ונכנס לתוך דירה אשר תוצפתה ע""י שוטרים.",0.00010341839,3.0311225e-05,0.9998037,0.99998796,0.002178558,0.57131803,0.95217615,0.16574275,0.00857019,0.00019484454,0.000422461
בדירה רכש הנאשם סמים ולאחר הרכישה חזר אל הקטנוע ונסע לכיוון צומת בר אילן.,0.00010026305,3.0892275e-05,0.9999367,1.6324173e-05,0.0020842755,0.033469535,0.9976986,0.070030704,0.0096801035,0.00015827072,0.00028758027
השוטרים נסעו אחרי הנאשם והורו לו לעצור בצד הדרך.,0.00013737335,3.1905227e-05,2.9780667e-05,0.9999877,0.0005557471,0.0012706164,0.038938664,0.014522838,0.040065236,0.00018637817,0.0002660136
"בתגובה פתח הנאשם בנסיעה פרועה תוך שהוא חוצה מספר רמזורים באור אדום עד שאיבד שליטה, נפל לכביש ופתח בריצה.",0.00012119457,3.015493e-05,0.00011428159,0.9999877,0.00071017095,0.0012511755,0.6976701,0.03726491,0.026443731,0.0002771676,0.0006353841
באותו שלב נפלה חבילת חשיש לרצפה.,0.0001878818,3.2837364e-05,0.9995109,0.9999871,0.25812557,0.972014,0.25188386,0.08065292,0.009345735,0.00019005037,0.00030372242
"על פי הנטען החזיק הנאשם באירוע זה בסם מסוכן מסוג חשיש במשקל כולל של 1,254 גרם ברוטו.",0.00011208983,3.0583724e-05,0.99996316,8.973214e-06,0.99965906,0.99987197,0.9998024,0.0035137166,0.0051759793,0.00013025657,0.0005710459
כמו כן נטען בכתב האישום כי ביום 19.11.12 החזיק הנאשם בביתו  סם מסוכן מסוג חשיש ללא היתר לשימוש עצמי ומשקל.,9.611755e-05,3.193902e-05,0.9999616,9.024989e-06,0.9996013,0.9998331,0.99911076,0.0074028005,0.008272036,0.00013514474,0.002048083
"המעשים הנ""ל נעשו בזמן שהנאשם היה פסול מלקבל רישיון נהיגה בשל עונש פסילה לשלוש שנים שהוטל עליו בנוכחותו ביום 26.1.12 בתיק פ""ל 5246-01-12.",0.00020472014,9.457438e-05,3.0789073e-05,9.186828e-06,0.0007050883,0.0013111689,0.006338868,0.0019186374,0.019416116,0.0001404935,0.3999263
