text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
אדיר קורדובה (עציר),0.00020469713,3.0964326e-05,2.1955397e-05,0.9999875,0.00039550016,0.00097004307,0.00069272355,0.10491082,0.021901697,0.00022459362,0.0004933275
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 13, 19א, 36",0.00016695721,2.8338307e-05,2.477861e-05,0.99998736,0.0004616255,0.0011972169,0.0005917431,0.03585883,0.03522365,0.00017438296,0.002089167
פקודת התעבורה [נוסח חדש]: סע'  62(3),9.6141186e-05,2.867811e-05,2.0244392e-05,0.9999186,0.0003182716,0.0007177913,0.00046562855,0.020671973,0.03851137,0.00011753841,0.00029289493
"חוק העונשין, תשל""ז-1977: סע'  275, 40ט׳, 40 י״א",0.000187291,3.0023166e-05,2.3745039e-05,0.99998724,0.0005002095,0.0012131996,0.0006225037,0.012733373,0.0559253,0.00012157794,0.00041005702
"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  26(4)",0.00012584409,2.9957757e-05,2.4354762e-05,9.10241e-06,0.00035801798,0.0011880242,0.00054915505,0.03261574,0.02395082,0.00014085998,0.00039807585
"הנאשם שלפניי הורשע על-פי הודאתו בעובדות שני כתבי אישום – האחד עניינו עבירות סמים (להלן – התיק העיקרי) (ת״פ 25307-08-16) והוא תוקן פעמיים, והשני עניינו עבירות תעבורה (להלן – תיק התעבורה) (פ״ל 4412-09-15) והוא תוקן פעם אחת.",0.0001836763,3.276845e-05,0.6311362,9.186434e-06,0.0011170646,0.0016339413,0.0043604793,0.0030384997,0.018735938,0.0002199779,0.9997795
התיק העיקרי (ע״פ כתב האישום המתוקן בשנית),0.00019833185,3.0954907e-05,1.9249681e-05,0.9999876,0.00030695804,0.00060483185,0.0006368124,0.0014683421,0.011172458,9.293725e-05,0.0004339416
אישום ראשון – באישום זה מיוחס לנאשם כי ביום 28.7.2016 החזיק סם קנבוס שלא לצריכה עצמית במשקל כולל של 98.42 גרם עפ״י החלוקה הבאה: במהלך חיפוש באופנועו נמצא סם שהיה מחולק למנות קטנות; בביתו נמצאו בחיפוש בביתו סמים בתפזורת שחלקם היו מחלוקים אף הם למנות קטנות וכן נמצא משקל דיגיטלי.,0.000111079105,3.076615e-05,0.9999596,8.928773e-06,0.99969363,0.9998585,0.9997067,0.16030815,0.008980573,0.00019854374,0.9070804
"כמו כן נתפס סכום של 30,680 ש״ח.",0.9856941,2.9922494e-05,0.70881915,9.243177e-06,0.0012367396,0.97388273,0.5524267,0.04581949,0.008348748,0.00010264607,0.00033827903
בגין כך מואשם הנאשם ב-2 עבירות של החזקת סם שלא לצריכה עצמית לפי סעיף 7(א)+7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש] התשל״ג-1973 (להלן – ״הפקודה).,0.00014080454,3.0008965e-05,0.0003009011,9.444682e-06,0.019792011,0.07105022,0.010530194,0.0057682884,0.023264896,0.00014431709,0.9960681
"מהאישום השני ועד לאישום האחד-עשר מואשם הנאשם בעבירות סחר בקנבוס לפי סעיף 13 + 19א לפקודה מול אנשים שונים, כאשר תיאום העסקות ותוכנן בוצע באמצעות הווטסאפ:",0.00010389363,3.1339267e-05,0.99995553,0.9999876,0.99073154,0.010419823,0.99874544,0.004871184,0.0046370546,0.0001312326,0.53806865
אישום שני – 10.4.2016: 1 גרם תמורת 100 ש״ח;,0.0002349684,2.9783367e-05,0.99994195,9.312234e-06,0.95112103,0.9998416,0.041123696,0.02368761,0.013808228,0.00023544766,0.0004961688
אישום שלישי – 1.5.2016: 1 גרם תמורת 100 ש״ח;,0.0002492594,2.9887471e-05,0.999948,9.362411e-06,0.9926779,0.9998456,0.05821411,0.016451016,0.011821117,0.00021700145,0.00053031766
אישום חמישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,0.00024967015,3.0031812e-05,0.99994695,9.201383e-06,0.9037628,0.99978215,0.600919,0.031674527,0.0107554635,0.00017506353,0.00046878614
אישום שישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,0.00031719895,3.0073916e-05,0.9999405,9.120144e-06,0.9017966,0.9997763,0.4671713,0.0532205,0.011769177,0.0001839178,0.0005029114
אישום שביעי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,0.00025239406,2.9736682e-05,0.9999479,9.27707e-06,0.88891864,0.9997836,0.53528357,0.026552161,0.009770372,0.0001653865,0.00042843178
אישום שמיני – 16.5.2016: 6 גרם תמורת 600 ש״ח;,0.00026234286,2.9713266e-05,0.99988604,9.287552e-06,0.58359027,0.9998412,0.020991858,0.029209958,0.011618983,0.00026592435,0.0004721718
אישום עשירי – יוני 2016: 1 גרם מורת 100 ש״ח;,0.0004004034,3.0433426e-05,0.9492025,9.1522e-06,0.064562455,0.9997514,0.002621476,0.027079822,0.013146722,0.00022863221,0.0007729617
אישום אחד-עשר – שבועיים לאחר יוני 2016: 1 גרם תמורת 100 ש״ח.,0.0002465688,3.0174606e-05,0.999931,9.161106e-06,0.91265804,0.99979395,0.22105613,0.023694836,0.007964504,0.00021392344,0.00052279484
"בתיק זה מואשם הנאשם כי ביום 3.7.2015 בשעת לילה מאוחרת הוא נתפס לאחר שאיבד שליטה על אופנועו, ונפל ממנו כשהוא במצב של שכרות, כשנודף מפיו ריח אלכוהול.",0.00012698006,0.9999906,0.9998661,0.999982,0.06720422,0.32452467,0.9004059,0.0045310706,0.009115817,0.00018336833,0.9787459
