text,reject,CIR_PUNISHMENT,CONFESSION,CIR_TYPE,CIR_ROLE,GENERAL_CIRCUM,CIR_AMOUNT,REGRET,RESPO,CIR_EQ
"(א)	גידול, ייצור הפקה והכנת סמים מסוכנים, עבירה לפי סעיף 6 לפקודת הסמים;",1,0,0,0,0,0,0,0,0,0
"(ג)	החזקת כלים המשמשים להכנת סם מסוכן, עבירה לפי סעיף 10 רישא לפקודת הסמים;",1,0,0,0,0,0,0,0,0,0
(ההדגשות אינן במקור).,1,0,0,0,0,0,0,0,0,0
(ראו: פרוטוקול מיום 15.2.2024).,1,0,0,0,0,0,0,0,0,0
"* בימ""ש עמד על השיקולים לחומרה ולקולה בעניינו של הנאשם, שהורשע בעבירה של ייבוא סם מסוכן וגזר את עונשו למאסר בפועל של 56 חודשים, מאסר על תנאי וקנס, תוך שהוא מדגיש את המגמה להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית.",0,1,0,0,0,0,0,0,0,0
"* הפסיקה עמדה על הצורך בענישה מחמירה, גם כאשר מדובר בסמים מוכרים פחות.",1,0,0,0,0,0,0,0,0,0
* עונשין – ענישה – מדיניות ענישה: עבירות סמים,1,0,0,0,0,0,0,0,0,0
* עונשין – ענישה – מדיניות ענישה: שיקולים לחומרה,1,0,0,0,0,0,0,0,0,0
.,1,0,0,0,0,0,0,0,0,0
..,1,0,0,0,0,0,0,0,0,0
...,1,0,0,0,0,0,0,0,0,0
"10 חודשי מאסר על תנאי אותם ירצה הנאשם בפועל אם בתוך 3 שנים מיום שחרורו מהכלא הוא יעבור עבירה המנויה בפקודת הסמים המסוכנים, למעט עבירה של החזקת סמים לשימוש עצמי או החזקת כלים לשימוש עצמי.",0,1,0,0,0,0,0,0,0,0
12 חודשי מאסר אותם לא ירצה אלא אם בתוך שלוש שנים מיום שחרורו ממאסר ישוב ויעבור עבירה מסוג פשע על פקודת הסמים המסוכנים.,0,1,0,0,0,0,0,0,0,0
"12 חודשי מאסר אשר הנאשם לא ירצה, אלא אם יעבור בתוך 3 שנים מהיום על כל עבירת סמים מסוג פשע.",0,1,0,0,0,0,0,0,0,0
"12 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך 3 שנים מהיום עבירת סמים מסוג פשע.",0,1,0,0,0,0,0,0,0,0
17 חודשי מאסר בניכוי ימי המעצר בתיק זה.,0,1,0,0,0,0,0,0,0,0
24 חודשים מאסר על תנאי שלא יעבור תוך 3 שנים מיום שחרורו מהמאסר עבירת פשע לפי פקודת הסמים המסוכנים.,0,1,0,0,0,0,0,0,0,0
3 חודשי מאסר על תנאי לתקופה של 3 שנים והתנאי הוא שהנאשם לא יעבור עבירה מסוג עוון לפי פקודת הסמים המסוכנים.,0,1,0,0,0,0,0,0,0,0
30 חודשי מאסר בניכוי ימי מעצרו.,0,1,0,0,0,0,0,0,0,0
"300 שעות שירות לתועלת הציבור (של""ץ), אשר ירוצו החל מיום 1.1.2025 על-פי תוכנית שיכין שירות המבחן ויגיש לבית המשפט עד ליום 1.11.2024;",0,1,0,0,0,0,0,0,0,0
"300 שעות שירות לתועלת הציבור (של""ץ), אשר ירוצו לא לפני 1.8.2024 בעמותת עזר מציון על-פי התוכנית שהכין שירות המבחן ובפיקוחו;",0,1,0,0,0,0,0,0,0,0
4 חודשי מאסר בפועל שירוצו בעבודות שירות.,0,1,0,0,0,0,0,0,0,0
"4 חודשים מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, והתנאי – שהנאשם לא יעבור עבירה בניגוד לפקודת התעבורה [נוסח חדש], תשכ""א – 1961, סעיף 43;",0,1,0,0,0,0,0,0,0,0
"4 חודשים מתקופה זו ירוצו בחופף לעונש אשר הושת על הנאשם בסעיף א' וחודשיים יצטברו לעונש זה, כך שבסך הכולל ירצה הנאשם 12 חודשי מאסר.",0,1,0,0,0,0,0,0,0,0
"5129371 בשים לב לעיקרון אחדות הענישה, כאשר בעניינו של השותף  לא הושת עונש קנס ולא נפסל רישיון הנהיגה, אינני מוצאת לנכון לגזור על הנאשם עונש קנס או פסילת רישיון נהיגה.",0,0,0,0,0,0,0,0,0,0
5129371זכות ערעור בתוך 45 ימים.,1,0,0,0,0,0,0,0,0,0
5129371זכות ערעור לבית המשפט המחוזי בחיפה  תוך 45 ימים מהיום.,1,0,0,0,0,0,0,0,0,0
5129371זכות ערעור לבית המשפט העליון בתוך 45 יום מהיום.,1,0,0,0,0,0,0,0,0,0
"5129371ניתן היום, ט' תמוז תשפ""ד, 15 יולי 2024, בנוכחות ב""כ הצדדים והנאשם.",1,0,0,0,0,0,0,0,0,0
54678313	זכות ערעור לבית המשפט העליון בתוך 45 יום.,1,0,0,0,0,0,0,0,0,0
54678313זכות ערעור לבית המשפט המחוזי בתוך 45 יום.,1,0,0,0,0,0,0,0,0,0
54678313יש לשלוח לשירות המבחן.,1,0,0,0,0,0,0,0,0,0
"6 חודשי מאסר בפועל שירוצו בדרך של עבודות שירות בעמותת ""מתחברים לנשמה"", בכתובת החרושת 4, כרמיאל.",0,1,0,0,0,0,0,0,0,0
"6 חודשי מאסר על תנאי, והתנאי הוא כי במשך 3 שנים מיום שחרורו מהמאסר לא יעבור הנאשם כל עבירה מסוג עוון על פקודת הסמים המסוכנים.",0,1,0,0,0,0,0,0,0,0
"6 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרור הנאשם ממאסרו, שלא יעבור עבירת סמים מסוג עוון.",0,1,0,0,0,0,0,0,0,0
"6 חודשי מאסר על-תנאי, שלא יעבור הנאשם בתוך 3 שנים מהיום כל עבירת סמים מסוג פשע;",0,1,0,0,0,0,0,0,0,0
"6 חודשי מאסר על-תנאי, שלא תעבור הנאשמת בתוך 3 שנים מהיום כל עבירת סמים מסוג פשע;",0,1,0,0,0,0,0,0,0,0
xxxxxxxxx,0,0,0,0,0,0,0,0,0,0
אביו נפטר בעקבות מחלה והוא מטפל באמו שסובלת ממצב רפואי מורכב.,0,0,0,0,0,1,0,0,0,0
"אביו סובל מנכות ואינו עובד, אמו ואחיו הקטן חולים.",0,0,0,0,0,1,0,0,0,0
אביו של הנאשם - חל בנאשם שינוי מבחינה דתית ותפקודית.,0,0,0,0,0,1,0,0,0,0
