,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,ME-15-02-9111-399,"אחמד חסארמה ת""ז 034615740 (עציר)",,0.999636872494672,,,,,,,,,,,,,,,,,
1,ME-15-02-9111-399,"ב""כ המאשימה: עו""ד אבי אור-זך",,0.9995203853024357,,,,,,,,,,,,,,,,,
2,ME-15-02-9111-399,"ב""כ הנאשם: עו""ד שאדי דבאח",,0.9994367044008542,,,,,,,,,,,,,,,,,
3,ME-15-02-9111-399,הנאשם באמצעות הליווי,,0.9994618356798377,,,,,,,,,,,,,,,,,
4,ME-15-02-9111-399,"חוק העונשין, תשל""ז-1977: סע'  144(א), (ב)",,0.9997385791965706,,,,,,,,,,,,,,,,,
5,ME-15-02-9111-399,"ביום  18.3.15 הורשע הנאשם על סמך הודייתו, בעבירות שיוחסו לו בכתב אישום שתוקן במסגרת הסדר טיעון.",,0.0037746229443975715,0.00011018982901170177,5.6274728161599294e-08,0.0016857445147844714,0.9997460390470174,0.999601182886315,,,,,,1.180650592575315e-05,1.328837173817712e-05,,,,,
6,ME-15-02-9111-399,ההסדר לא כלל הסכמה לענין העונש.,,0.9993603164622181,,,,,,,,,,,,,,,,,
7,ME-15-02-9111-399,"בכתב האישום המתוקן יוחסו לנאשם עבירות בנשק – לפי סעיף 144(א) + (ב) לחוק העונשין, התשל""ז-1977.",,0.872605343854896,0.0004939200408211621,3.5647979053844454e-08,0.0014651747283391796,2.018161224366844e-05,,,,,,,,,,,,,
8,ME-15-02-9111-399,"נאמר כי ביום 25.1.15, סמוך לשעה 15:00, הגיעו שוטרים לסוכת אבלים של משפחת חסארמה בכפר בענה במטרה לעכב את יוסף חסארמה לחקירה.",,0.9989644444762306,,,,,,,,,,,,,,,,,
9,ME-15-02-9111-399,"הנאשם שהיה במתחם הבחין בשוטרים והחל במנוסה מהם, וזאת כשהוא נושא ומחזיק אקדח מסוג FN מספר 74423 ומחסנית עם 13 כדורים 9 מ""מ.",,0.001193821585969752,0.00021388215395084622,5.742958218523832e-08,0.9999035904033157,1.8341280004740446e-05,,0.9998622045715343,1.1825729029755756e-05,1.112696713034453e-05,1.2461217278090617e-05,0.9994966072006272,,,0.9996564249382273,0.9998167622994906,0.35276942241250253,5.1541730529726426e-05,5.1541730529726426e-05
10,ME-15-02-9111-399,זאת עשה הנאשם בלא רשות על פי דין לנשיאתם והחזקתם של האקדח והמחסנית.,,3.3475362012924345e-05,0.000495504975595068,3.236416901530406e-08,0.9997686413064905,1.928101135353425e-05,,1.3181590319978306e-05,1.2338651495166349e-05,1.094703022890897e-05,1.246158753270221e-05,1.2048819655720659e-05,,,0.04175318303514725,0.00010904529277941287,0.00036550459755356365,5.2032102058831505e-05,5.2032102058831505e-05
11,ME-15-02-9111-399,"במהלך המנוסה מהשוטרים, זרק הנאשם את האקדח והמחסנית ובמעשיו המתוארים לעיל הוא החזיק ונשא  נשק שמסוגל לירות כדור שבכוחו להמית אדם, אביזר לנשק ותחמושת וזאת בלא רשות על פי דין להחזקתם ונשיאתם.",,0.0006028163850455533,0.00018257580597588383,4.526197609531193e-08,0.9999099640005675,1.8643399889958855e-05,,0.9631701557612378,0.0024019500579110175,1.154022842444241e-05,1.229896244767211e-05,1.1985838715305345e-05,,,0.07501719621057269,0.3704793851516375,0.023615179252252275,5.514543409545776e-05,5.514543409545776e-05
12,ME-15-02-9111-399,"לאחר הכרעת הדין, ובטרם נשמעו הטיעונים לעונש, נעתרתי לבקשת הסנגור והוריתי על הפניית הנאשם לשירות המבחן לצורך עריכת תסקיר בעניינו.",,0.9996561183880895,,,,,,,,,,,,,,,,,
13,ME-15-02-9111-399,"בתסקיר מיום 9.6.15 נאמר כי מדובר בצעיר כבן 29, נשוי מזה כ-7 חודשים שהתגורר עובר למעצרו בבניין בו מתגוררת משפחת מוצאו בכפר בענה.",,0.012267452752063339,0.00019268843445771898,0.9999196335791196,0.0015450353399372296,1.922393358859286e-05,,,,,,,,,,,,,
14,ME-15-02-9111-399,אחיו הבכור נהרג ביוני אשתקד מירי על רקע סכסוך עם חלק מבני משפחתו המורחבת.,,0.0022668455184067997,0.0003205425038689559,0.9983204862017718,0.001576390295231905,1.9275985492131145e-05,,,,,,,,,,,,,
15,ME-15-02-9111-399,"האח, בן 31 במותו, הותיר אחריו אישה ותינוקת החיות עם המשפחה במתחם המשפחה בכפר בענה.",,0.0008153493311328989,0.0001641503731008387,0.9998209632159657,0.0017322926318321177,1.9763618245098705e-05,,,,,,,,,,,,,
16,ME-15-02-9111-399,שירות המבחן ציין כי הנאשם נעדר הרשעות קודמות אולם משיחה עמו עלה כי בשנים האחרונות נעצר מספר פעמים בחשד לביצוע עבירות נשק ואלימות על רקע סכסוך שהתגלע עם חלק מבני המשפחה המורחבת.,,0.013131048114318106,0.0007872937678529962,0.9998015587086693,0.00211934931272233,1.8542512297690956e-05,,,,,,,,,,,,,
17,ME-15-02-9111-399,"אותו סכסוך גרם למותם של שלושה אנשים, בכללם אחיו הבכור של הנאשם שנהרג, כאמור, ביוני אשתקד, דודו שנהרג ימים ספורים קודם למעצרו בתיק זה ובן מהמשפחה היריבה.",,0.00196714145016156,0.000110249622431788,0.9985276105371751,0.0016246873405359053,1.9692463594249856e-05,,,,,,,,,,,,,
18,ME-15-02-9111-399,הנאשם חשוד בגרימת מוות בתיק אחר ועצור עד תום ההליכים.,,0.0010249935166074852,0.0001700117612290805,3.5666299511882494e-08,0.002143376753507471,2.136154901849172e-05,,,,,,,,,,,,,
19,ME-15-02-9111-399,בגין העבירה נשוא תיק זה מצוי הנאשם במעצר מיום 25.1.15 כאשר תחילה היה בכלא צלמון ובחודש אפריל הועבר לאגף המיועד לטעוני הגנה בבית מעצר הקישון.,,0.005697528530154992,0.00015841314882649544,6.894079594133217e-06,0.9665840280029679,1.7883077245778074e-05,,1.2384199276816001e-05,1.1661179203063342e-05,1.1510602064444742e-05,1.1876235013572145e-05,1.5528900535337216e-05,,,0.00016428697392267258,0.6792843342204022,0.9944374581114344,5.926682129608101e-05,5.926682129608101e-05
20,ME-15-02-9111-399,"בהתייחס לכתב האישום, נטל הנאשם אחריות מלאה והביע חרטה על מעשיו שנבעו, לדבריו, מרצונו למנוע מקרובי משפחה להשתמש לרעה בנשק על רקע  הריגת דודו.",,0.002898022499693391,0.00012113512705314297,4.2314086938274475e-08,0.0017952324534345368,0.9997509794889933,1.4822408931253747e-05,,,,,,0.9993602677985074,0.9988040764547866,,,,,
21,ME-15-02-9111-399,"בבואו לגבש הערכת סיכון לפריצת גבולות מצידו של הנאשם, הביא שירות המבחן בחשבון את תפקודו התעסוקתי היציב ויחסיו המשפחתיים התקינים.",,0.00021562924362964397,0.00036626852979642016,0.9958155864176818,0.0016375709960472354,1.9015459460623516e-05,,,,,,,,,,,,,
22,ME-15-02-9111-399,כן נלקחה בחשבון ההתרשמות מן הנאשם לפיה מדובר במי שהשכיל להימנע מהסתבכות קודמת עם החוק  וניחן בתפיסת עולם הנוגדת שימוש באלימות כלפי האחר.,,0.005204534365876462,0.0006868796359030891,0.9997904905760131,0.002334597372641803,1.8998541602541122e-05,,,,,,,,,,,,,
23,ME-15-02-9111-399,"מנגד, מעמדו בשלב זה כעצור החשוד בגרימת מוות ונסיבות והשלכות הסכסוך הקיים שהוביל בין היתר לאבדנים קשים, מצביעים על קיומו של פוטנציאל להישנות עבירות בנשק.",,0.9984605855144724,,,,,,,,,,,,,,,,,
24,ME-15-02-9111-399,לאור זאת לא בא שירות המבחן בהמלצה על חלופות עונשיות או שיקומיות במסגרת הקהילה העשויות להפחית סיכון להישנות מעשים דומים בעתיד.,,0.0004116422455364478,0.00033323357626468235,2.3321092525508585e-08,0.001863929581914621,1.8416080384427458e-05,,,,,,,,,,,,,
25,ME-15-02-9111-399,בטיעוניה לעונש עתרה המאשימה למתחם ענישה שנע בין שנתיים וחצי לארבע וחצי שנות מאסר בפועל וכן למאסר מותנה.,,0.0017555748975704557,0.9978805635219451,4.0470978754839167e-08,0.0016926631915493262,1.824108013912635e-05,,,,,,,,,,,,,
26,ME-15-02-9111-399,"לדבריה, נסיבות ביצוע העבירה הן חמורות באשר הנאשם החזיק ונשא נשק בתוך סוכת אבלים, מקום שבו אמורים אנשים להתייחד עם זיכרון יקיריהם ללא מורא וללא סיכון.",,0.0003417072826267706,0.00011795025076118423,4.3989131234385554e-08,0.3812930756925356,1.8545408292198356e-05,,,,,,,,,,,,,
27,ME-15-02-9111-399,"בנוסף, הנשק עצמו הוא בקוטר לא קטן ונשיאתו עם כמות לא מבוטלת של כדורים מהווה נדבך נוסף לחומרת האירוע.",,0.0011929732893401724,0.00013711201334530666,5.621235733712304e-08,0.9997643855419451,1.8334327272074693e-05,,0.9997677005109351,1.3482964908769526e-05,1.2866656546431567e-05,1.2411752664062645e-05,1.2563940556396247e-05,,,0.9975168784242519,0.9992175074590965,0.001457496227270608,5.706452483099458e-05,5.706452483099458e-05
28,ME-15-02-9111-399,"לגבי התסקיר נאמר שעל אף ששירות המבחן התרשם שמדובר במי שנעדר הרשעות קודמות, הרי שנסיבות העבירה הנטועות בסכסוך דמים קשה בין משפחות והסיכון מצידו של הנאשם להישנות התנהגות דומה בעתיד, לא איפשרו לשירות המבחן לבוא בהמלצה על חלופה עונשית או שיקומית.",,0.004102238999429489,0.00032766020664623297,0.9996028741387086,0.002186168493707966,1.810138015395688e-05,,,,,,,,,,,,,
